(pc,x,y,z,f)
0:(0,-3,-2,0,-1)
1:(1,1,-2,0,-1)
2:(2,1,1,0,-1)
3:(4,0,0,1,0)
4:(4,0,0,1,1)
5:(4,0,0,2,0)
6:(4,0,0,2,1)
7:(4,0,0,3,0)
8:(4,0,0,3,1)
9:(4,0,1,1,0)
10:(4,0,1,1,1)
11:(4,0,1,2,0)
12:(4,0,1,2,1)
13:(4,0,1,3,0)
14:(4,0,1,3,1)
15:(4,0,2,1,0)
16:(4,0,2,1,1)
17:(4,0,2,2,0)
18:(4,0,2,2,1)
19:(4,0,2,3,0)
20:(4,0,2,3,1)
21:(4,0,3,1,0)
22:(4,0,3,1,1)
23:(4,0,3,2,0)
24:(4,0,3,2,1)
25:(4,0,3,3,0)
26:(4,0,3,3,1)
27:(4,0,4,1,0)
28:(4,0,4,1,1)
29:(4,0,4,2,0)
30:(4,0,4,2,1)
31:(4,0,4,3,0)
32:(4,0,4,3,1)
33:(4,0,5,1,0)
34:(4,0,5,1,1)
35:(4,0,5,2,0)
36:(4,0,5,2,1)
37:(4,0,5,3,0)
38:(4,0,5,3,1)
39:(4,1,0,1,0)
40:(4,1,0,1,1)
41:(4,1,0,2,0)
42:(4,1,0,2,1)
43:(4,1,0,3,0)
44:(4,1,0,3,1)
45:(4,1,1,0,0)
46:(4,1,1,0,1)
47:(4,1,1,1,0)
48:(4,1,1,1,1)
49:(4,1,1,2,0)
50:(4,1,1,2,1)
51:(4,1,1,3,0)
52:(4,1,1,3,1)
53:(4,1,2,1,0)
54:(4,1,2,1,1)
55:(4,1,2,2,0)
56:(4,1,2,2,1)
57:(4,1,2,3,0)
58:(4,1,2,3,1)
59:(4,1,3,1,0)
60:(4,1,3,1,1)
61:(4,1,3,2,0)
62:(4,1,3,2,1)
63:(4,1,3,3,0)
64:(4,1,3,3,1)
65:(4,1,4,1,0)
66:(4,1,4,1,1)
67:(4,1,4,2,0)
68:(4,1,4,2,1)
69:(4,1,4,3,0)
70:(4,1,4,3,1)
71:(4,1,5,1,0)
72:(4,1,5,1,1)
73:(4,1,5,2,0)
74:(4,1,5,2,1)
75:(4,1,5,3,0)
76:(4,1,5,3,1)
77:(4,2,0,1,0)
78:(4,2,0,1,1)
79:(4,2,0,2,0)
80:(4,2,0,2,1)
81:(4,2,0,3,0)
82:(4,2,0,3,1)
83:(4,2,1,1,0)
84:(4,2,1,1,1)
85:(4,2,1,2,0)
86:(4,2,1,2,1)
87:(4,2,1,3,0)
88:(4,2,1,3,1)
89:(4,2,2,1,0)
